Date,Open,High,Low,Close
2021/3/22,108.883,108.955,108.619,108.806
2021/3/23,108.806,108.873,108.408,108.622
2021/3/24,108.623,108.956,108.453,108.752
2021/3/25,108.751,109.237,108.731,109.164
2021/3/26,109.168,109.848,109.134,109.655
2021/3/29,109.714,109.8455,109.3735,109.8205
2021/3/30,109.8195,110.428,109.7595,110.3605
2021/3/31,110.3605,110.958,110.2765,110.731
2021/4/1,110.731,110.845,110.546,110.595
2021/4/5,110.678,110.749,109.963,110.152
2021/4/6,110.15,110.552,109.671,109.78
2021/4/7,109.78,109.942,109.582,109.845
2021/4/8,109.843,109.9,109.002,109.27
2021/4/9,109.27,109.959,109.218,109.648
2021/4/12,109.711,109.768,109.249,109.389
2021/4/13,109.389,109.753,109.02,109.054
2021/4/14,109.061,109.095,108.754,108.939
2021/4/15,108.939,108.9645,108.615,108.744
2021/4/16,108.744,108.966,108.615,108.783
2021/4/19,108.772,108.837,108.011,108.154
2021/4/20,108.154,108.543,107.979,108.081
2021/4/21,108.084,108.282,107.878,108.07
2021/4/22,108.066,108.229,107.822,107.96
2021/4/23,107.96,108.143,107.481,107.892
2021/4/26,107.949,108.197,107.646,108.095
2021/4/27,108.094,108.775,108.093,108.722
2021/4/28,108.709,109.076,108.562,108.603
2021/4/29,108.6,109.222,108.437,108.939
2021/4/30,108.938,109.342,108.715,109.293
2021/5/3,109.292,109.698,108.8945,109.063
2021/5/4,109.0645,109.488,109.0305,109.316
2021/5/5,109.315,109.472,109.148,109.202
2021/5/6,109.202,109.428,109.002,109.089
2021/5/7,109.085,109.289,108.336,108.604
2021/5/10,108.626,109.054,108.469,108.853
2021/5/11,108.854,108.982,108.35,108.615
2021/5/12,108.613,109.71,108.611,109.671
2021/5/13,109.669,109.785,109.4065,109.4545
2021/5/14,109.4545,109.6535,109.21,109.35
2021/5/17,109.281,109.502,109.076,109.21
2021/5/18,109.21,109.285,108.839,108.899
2021/5/19,108.899,109.337,108.573,109.193
2021/5/20,109.193,109.305,108.752,108.778
2021/5/21,108.777,109.002,108.613,108.902
2021/5/24,108.92,108.996,108.697,108.765
2021/5/25,108.769,109.066,108.566,108.7695
2021/5/26,108.77,109.177,108.7245,109.135
2021/5/27,109.132,109.924,109.038,109.823
2021/5/28,109.846,110.2,109.746,109.834
2021/5/31,109.841,109.937,109.355,109.582
2021/6/1,109.582,109.707,109.331,109.471
2021/6/2,109.472,109.884,109.455,109.563
2021/6/3,109.564,110.3225,109.554,110.299
2021/6/4,110.2975,110.3305,109.367,109.488
2021/6/7,109.514,109.637,109.192,109.256
2021/6/8,109.257,109.557,109.199,109.496
2021/6/9,109.486,109.657,109.226,109.625
2021/6/10,109.631,109.793,109.308,109.35
2021/6/11,109.35,109.8415,109.318,109.6565
2021/6/14,109.648,110.099,109.613,110.075
2021/6/15,110.076,110.168,109.988,110.053
2021/6/16,110.053,110.74,109.807,110.651
2021/6/17,110.65,110.821,110.167,110.261
2021/6/18,110.253,110.4845,109.9445,110.1585
2021/6/21,110.243,110.348,109.718,110.302
2021/6/22,110.301,110.79,110.213,110.659
